stage | turn
    0 |  291
    1 |  287
    2 |  287
    3 |  287
    4 |  328
    5 |  248
    6 |  246
    7 |  287
    8 |  287
    9 |  246
   10 |  246
   11 |  328
   12 |  287
   13 |  267
   14 |  287
   15 |  327
   16 |  309
   17 |  287
   18 |  287
   19 |  287
   20 |  287
   21 |  246
   22 |  287
   23 |  287
   24 |  328
   25 |  256
   26 |  246
   27 |  285
   28 |  287
   29 |  287
   30 |  287
   31 |  344
   32 |  325
   33 |  246
   34 |  287
   35 |  315
   36 |  328
   37 |  344
   38 |  287
   39 |  287
   40 |  287
   41 |  328
   42 |  295
   43 |  246
   44 |  326
   45 |  357
   46 |  305
   47 |  287
   48 |  287
   49 |  287
   50 |  328
   51 |  287
   52 |  310
   53 |  369
   54 |  287
   55 |  287
   56 |  328
   57 |  328
   58 |  311
   59 |  287
   60 |  328
   61 |  328
   62 |  287
   63 |  287
   64 |  313
   65 |  248
   66 |  287
   67 |  287
   68 |  292
   69 |  369
   70 |  315
   71 |  287
   72 |  295
   73 |  312
   74 |  287
   75 |  257
   76 |  326
   77 |  246
   78 |  287
   79 |  328
   80 |  301
   81 |  287
   82 |  300
   83 |  287
   84 |  328
   85 |  328
   86 |  287
   87 |  287
   88 |  287
   89 |  287
   90 |  328
   91 |  328
   92 |  287
   93 |  285
   94 |  328
   95 |  328
   96 |  287
   97 |  328
   98 |  287
   99 |  328
  100 |  287
  101 |  328
  102 |  328
  103 |  291
  104 |  327
  105 |  287
  106 |  338
  107 |  328
  108 |  287
  109 |  287
  110 |  328
  111 |  315
  112 |  328
  113 |  328
  114 |  369
  115 |  328
  116 |  293
  117 |  328
  118 |  328
  119 |  328
  120 |  287
  121 |  319
  122 |  316
  123 |  328
  124 |  328
  125 |  328
  126 |  328
  127 |  328
  128 |  304
  129 |  289
  130 |  369
  131 |  328
  132 |  290
  133 |  328
  134 |  328
  135 |  328
  136 |  293
  137 |  328
  138 |  369
  139 |  328
  140 |  328
  141 |  304
  142 |  287
  143 |  328
  144 |  335
  145 |  328
  146 |  328
  147 |  328
  148 |  287
  149 |  328
  150 |  328
  151 |  328
  152 |  338
  153 |  328
  154 |  328
  155 |  328
  156 |  335
  157 |  328
  158 |  328
  159 |  367
  160 |  328
  161 |  328
  162 |  336
  163 |  369
  164 |  369
  165 |  328
  166 |  328
  167 |  287
  168 |  369
  169 |  328
  170 |  328
  171 |  328
  172 |  328
  173 |  287
  174 |  328
  175 |  328
  176 |  367
  177 |  328
  178 |  328
  179 |  369
  180 |  328
  181 |  328
  182 |  258
  183 |  328
  184 |  328
  185 |  328
  186 |  328
  187 |  343
  188 |  328
  189 |  337
  190 |  328
  191 |  332
  192 |  328
  193 |  365
  194 |  328
  195 |  328
  196 |  368
  197 |  328
  198 |  316
  199 |  369
TotalTurn: 62373
Time: 69.594 sec
