stage | turn
    0 |  328
    1 |  328
    2 |  328
    3 |  328
    4 |  287
    5 |  338
    6 |  287
    7 |  328
    8 |  356
    9 |  328
   10 |  369
   11 |  410
   12 |  328
   13 |  328
   14 |  369
   15 |  351
   16 |  328
   17 |  369
   18 |  369
   19 |  346
   20 |  389
   21 |  328
   22 |  441
   23 |  369
   24 |  369
   25 |  396
   26 |  369
   27 |  410
   28 |  410
   29 |  410
   30 |  410
   31 |  357
   32 |  316
   33 |  410
   34 |  410
   35 |  369
   36 |  328
   37 |  328
   38 |  396
   39 |  341
   40 |  380
   41 |  391
   42 |  408
   43 |  369
   44 |  360
   45 |  410
   46 |  369
   47 |  391
   48 |  328
   49 |  369
   50 |  410
   51 |  410
   52 |  410
   53 |  451
   54 |  421
   55 |  389
   56 |  429
   57 |  410
   58 |  369
   59 |  410
   60 |  402
   61 |  412
   62 |  369
   63 |  305
   64 |  375
   65 |  375
   66 |  401
   67 |  428
   68 |  369
   69 |  404
   70 |  369
   71 |  436
   72 |  411
   73 |  451
   74 |  391
   75 |  421
   76 |  369
   77 |  354
   78 |  328
   79 |  369
   80 |  369
   81 |  410
   82 |  369
   83 |  341
   84 |  451
   85 |  361
   86 |  382
   87 |  328
   88 |  388
   89 |  425
   90 |  369
   91 |  425
   92 |  410
   93 |  410
   94 |  410
   95 |  451
   96 |  410
   97 |  438
   98 |  410
   99 |  410
  100 |  396
  101 |  451
  102 |  449
  103 |  369
  104 |  492
  105 |  439
  106 |  451
  107 |  436
  108 |  451
  109 |  407
  110 |  369
  111 |  369
  112 |  451
  113 |  377
  114 |  410
  115 |  512
  116 |  451
  117 |  492
  118 |  412
  119 |  451
  120 |  416
  121 |  395
  122 |  406
  123 |  369
  124 |  369
  125 |  451
  126 |  451
  127 |  397
  128 |  417
  129 |  492
  130 |  445
  131 |  451
  132 |  352
  133 |  451
  134 |  451
  135 |  410
  136 |  451
  137 |  465
  138 |  492
  139 |  440
  140 |  429
  141 |  369
  142 |  369
  143 |  369
  144 |  492
  145 |  369
  146 |  410
  147 |  451
  148 |  410
  149 |  433
  150 |  451
  151 |  492
  152 |  485
  153 |  492
  154 |  410
  155 |  492
  156 |  451
  157 |  424
  158 |  451
  159 |  410
  160 |  451
  161 |  451
  162 |  405
  163 |  348
  164 |  410
  165 |  451
  166 |  451
  167 |  451
  168 |  451
  169 |  451
  170 |  451
  171 |  451
  172 |  451
  173 |  410
  174 |  466
  175 |  451
  176 |  410
  177 |  454
  178 |  400
  179 |  369
  180 |  415
  181 |  439
  182 |  451
  183 |  492
  184 |  533
  185 |  410
  186 |  419
  187 |  492
  188 |  492
  189 |  460
  190 |  451
  191 |  492
  192 |  492
  193 |  410
  194 |  451
  195 |  492
  196 |  492
  197 |  419
  198 |  410
  199 |  492
TotalTurn: 81651
Time: 0.108 sec
